Tweet,FINAL LABEL,Tweet_Preprocess,Tweet_New
"RT @bkipmbjm: Penyerahan SK CPNS secara simbolis oleh Menteri Kelautan dan Perikanan kepada seluruh CPNS KKP Formasi Thn 2021, yg diikuti oâ€¦",0.0,"['serah', 'sk', 'cpns', 'simbolis', 'menteri', 'laut', 'ikan', 'cpns', 'kkp', 'formasi', 'thn', 'yg', 'ikut', 'o']",serah sk cpns simbolis menteri laut ikan cpns kkp formasi thn yg ikut o
"RT @lover_yangz: @lesserafearless Daring

LE SSERAFIM 3RD MEMBER",0.0,"['yangz', 'daring', 'le', 'sserafim', 'rd', 'member']",yangz daring le sserafim rd member
"pantes kok kek panik mulu, ga taunya ketauan kalo boleh luring apa daring, terus aku milihnya luringâ˜¹
maapin ya ibokkkðŸ’¥",-1.0,"['pantes', 'kek', 'panik', 'mulu', 'ga', 'tau', 'tau', 'kalo', 'luring', 'daring', 'milihnya', 'luring', 'maapin', 'ya', 'ibokkk', '', '']",pantes kek panik mulu ga tau tau kalo luring daring milihnya luring maapin ya ibokkk
@zoelfick Di pasung aja orang2 kaya gitu.. kalo alesannya masih dibawah umur dan masih sekolah..  nanti bisa difasilitasi belajar daring.,-1.0,"['pasung', 'aja', 'orang', 'kaya', 'gitu', 'kalo', 'alesannya', 'bawah', 'umur', 'sekolah', 'fasilitas', 'ajar', 'daring']",pasung aja orang kaya gitu kalo alesannya bawah umur sekolah fasilitas ajar daring
"@lesserafearless Daring

LE SSERAFIM 3RD MEMBER",0.0,"['daring', 'le', 'sserafim', 'rd', 'member']",daring le sserafim rd member
"sbb zee, aku hari ini harusnya sekolah offline tp karna maag aku kambuh jd nya ambil daring, pdhl daring juga kaga malahan tdr aku wkwkwk, oooh aku kira kamu udh selesai dari kemaren us nya ternyata belum yaa, yaudah mangats ya semoga nilai susulannya gede @A_ZeeJKT48 #ZeeLetter",-1.0,"['sbb', 'zee', 'sekolah', 'offline', 'tp', 'karna', 'maag', 'kambuh', 'jd', 'nya', 'ambil', 'daring', 'pdhl', 'daring', 'kaga', 'tdr', 'wkwkwk', 'oooh', 'udh', 'selesai', 'kemaren', 'us', 'nya', 'yaa', 'yaudah', 'mangats', 'ya', 'moga', 'nilai', 'susul', 'gede', 'zeejkt']",sbb zee sekolah offline tp karna maag kambuh jd nya ambil daring pdhl daring kaga tdr wkwkwk oooh udh selesai kemaren us nya yaa yaudah mangats ya moga nilai susul gede zeejkt
"Teman-teman juga bisa berkunjung ke laman ini, Ikatan Psikolog Klinis: 

https://t.co/jSWaYVXVkm",0.0,"['temanteman', 'kunjung', 'laman', 'ikat', 'psikolog', 'klinis']",temanteman kunjung laman ikat psikolog klinis
"@HwanniePromotes @RichQuack #haloriah19proofHwanniePromotes 
Tg: Ri_daring
Done ðŸ¦¢ https://t.co/hbIaRnXCvT",0.0,"['tg', 'ridaring', 'done', '']",tg ridaring done
"@minjuippeo daring 

LE SSERAFIM 3RD MEMBER",0.0,"['daring', 'le', 'sserafim', 'rd', 'member']",daring le sserafim rd member
@tanyakanrl Cape banget punya crush tapi gaperna ketemu lagi soalnya sekolah masih daring,-1.0,"['cape', 'banget', 'crush', 'gaperna', 'ketemu', 'sekolah', 'daring']",cape banget crush gaperna ketemu sekolah daring
"@dvndraron omg udh lama egk interact dh kykny, tp YHAHAhahah bsk ak daring nieee tp good luck dhhhhâ—ï¸ðŸ˜Ž",1.0,"['omg', 'udh', 'egk', 'interact', 'dh', 'kykny', 'tp', 'yhahahahah', 'bsk', 'ak', 'daring', 'nieee', 'tp', 'good', 'luck', 'dhhhh']",omg udh egk interact dh kykny tp yhahahahah bsk ak daring nieee tp good luck dhhhh
"MasyaAllah, silahturahmi tetap terjaga dan semakin terasa hangat karena memiliki internet stabil dari layanan IndiHome

Mau tahu hangatnya silaturahmi keluarga walaupun secara daring, silakan mampir ke tulisan ini, 

https://t.co/bScfpGNkzk",0.0,"['masyaallah', 'silahturahmi', 'jaga', 'hangat', 'milik', 'internet', 'stabil', 'layan', 'indihome', 'hangat', 'silaturahmi', 'keluarga', 'daring', 'sila', 'mampir', 'tulis']",masyaallah silahturahmi jaga hangat milik internet stabil layan indihome hangat silaturahmi keluarga daring sila mampir tulis
@sebutsajalemon luring ap daring,0.0,"['luring', 'ap', 'daring']",luring ap daring
@sukadahyun lah emang anjing mu selama ini daring ya be?,0.0,"['emang', 'anjing', 'mu', 'daring', 'ya', 'be']",emang anjing mu daring ya be
@sukadahyun lah anjing lo daring ternyata be,-1.0,"['anjing', 'lo', 'daring', 'be']",anjing lo daring be
"@minjuippeo daring 

LESSERAFIM 3RD MEMBER",0.0,"['daring', 'lesserafim', 'rd', 'member']",daring lesserafim rd member
"ga libur ges trnyata, daring eheheheeh tp gapapa soalnya mapel rabu semuanya kek ajg https://t.co/b8EXzwsAgI",-1.0,"['ga', 'libur', 'ges', 'trnyata', 'daring', 'eheheheeh', 'tp', 'gapapa', 'mapel', 'rabu', 'kek', 'ajg']",ga libur ges trnyata daring eheheheeh tp gapapa mapel rabu kek ajg
"Kegiatan tersebut dilaksanakan secara hybrid (luring dan daring).

Selain membahas tentang substansi pada PMK 186 secara umum, PPPK juga menghadirkan tema spesial yaitu Penomoran Laporan Auditor Independen (LAI), Kode QR, dan Penyampaian Laporan Kegiatan Usaha (LKU).",0.0,"['giat', 'laksana', 'hybrid', 'luring', 'daring', 'bahas', 'substansi', 'pmk', 'pppk', 'hadir', 'tema', 'spesial', 'nomor', 'lapor', 'auditor', 'independen', 'lai', 'kode', 'qr', 'sampai', 'lapor', 'giat', 'usaha', 'lku']",giat laksana hybrid luring daring bahas substansi pmk pppk hadir tema spesial nomor lapor auditor independen lai kode qr sampai lapor giat usaha lku
RT @officialMKRI: Wakil Ketua MK Aswanto menghadiri kegiatan Global Network for Electoral Justice (GNEJ) Awards dan Scientific Committee Meâ€¦,0.0,"['wakil', 'ketua', 'mk', 'aswanto', 'hadir', 'giat', 'global', 'network', 'for', 'electoral', 'justice', 'gnej', 'awards', 'scientific', 'committee', 'me']",wakil ketua mk aswanto hadir giat global network for electoral justice gnej awards scientific committee me
@browreza_ @SHIJlN @fiikaaaa_ daring aja dulu ya,0.0,"['daring', 'aja', 'ya']",daring aja ya
"@ceirous @Altcoin_ink #haloriah19proofceirous 
Tg: Ri_daring
Done ðŸ’ðŸŽ https://t.co/eYT0cv3qFH",0.0,"['ink', 'tg', 'ridaring', 'done', '', '', '']",ink tg ridaring done
"RT @KanwilBPNNTB: Turut hadir secara daring, Kepala Seksi Survei dan Pemetaan serta Kepala Seksi Penataan dan Pemberdayaan Kantor Pertanahaâ€¦",0.0,"['hadir', 'daring', 'kepala', 'seksi', 'survei', 'meta', 'kepala', 'seksi', 'tata', 'daya', 'kantor', 'pertanaha']",hadir daring kepala seksi survei meta kepala seksi tata daya kantor pertanaha
"@schfess eh 7 S1 aja, S2 nya daring woe mana w nangis mulu gara-gara e-learning nya sering errorðŸ˜­ðŸ˜­",-1.0,"['eh', 's', 'aja', 's', 'nya', 'daring', 'woe', 'w', 'nang', 'mulu', 'garagara', 'elearning', 'nya', 'error']",eh s aja s nya daring woe w nang mulu garagara elearning nya error
@schfess 7 sih kayanya sama 9 s2.. bcs kelaz 8 9 nya daring:(,0.0,"['sih', 'kaya', 's', 'bcs', 'kelaz', 'nya', 'daring']",sih kaya s bcs kelaz nya daring
"05/04/2022 - Orientasi Hari 1
Pemaparan materi melalui zoom meeting yang diikuti seluruh peserta Formasi CPNS 2021 Kementerian Kelautan dan Perikanan secara Daring di Satker masing-masing

@kkpgoid @brsdm_kp

#pejuangekonomibiru #KKPAccelerate #kkp #CPNS2021 #asnkkp #kkprebound https://t.co/RHVnxqurwa",0.0,"['orientasi', 'papar', 'materi', 'zoom', 'meeting', 'ikut', 'serta', 'formasi', 'cpns', 'menteri', 'laut', 'ikan', 'daring', 'satker', 'masingmasing', 'kp']",orientasi papar materi zoom meeting ikut serta formasi cpns menteri laut ikan daring satker masingmasing kp
"Electrizen,
Dalam gelaran Apel Yantek Optimization se-Indonesia yang digelar bersama Direktur Utama PLN, Darmawan Prasodjo, secara daring pada Jumat (01/04), dua unit dibawah PLN UIW Bangka Belitung yakni PLN UP3 Bangka dan UP3 Belitung berhasil menjadi top 1 dan top 4. https://t.co/lIEcLXTDtS",0.0,"['electrizen', 'gelar', 'apel', 'yantek', 'optimization', 'indonesia', 'gelar', 'direktur', 'utama', 'pln', 'darmawan', 'prasodjo', 'daring', 'jumat', 'unit', 'bawah', 'pln', 'uiw', 'bangka', 'belitung', 'pln', 'up', 'bangka', 'up', 'belitung', 'hasil', 'top', 'top']",electrizen gelar apel yantek optimization indonesia gelar direktur utama pln darmawan prasodjo daring jumat unit bawah pln uiw bangka belitung pln up bangka up belitung hasil top top
"(5/4/22)
#KegiatanBKKPN melakukan diskusi daring bersama PT. MARS terkait rencana kerjasama dalam upaya restorasi ekosistem terumbu karang.

#KKPAccelerate
#BKKPNKupangLebeBae https://t.co/GhTbrX07RG",0.0,"['diskusi', 'daring', 'pt', 'mars', 'kait', 'rencana', 'kerjasama', 'upaya', 'restorasi', 'ekosistem', 'terumbu', 'karang']",diskusi daring pt mars kait rencana kerjasama upaya restorasi ekosistem terumbu karang
"@mkc_hakken â € â €
Menatap layar ponsel dengan serius sampai dahinya mengerut karena ingin membeli sarung tangan baru di situs daring.â €
â €â €",0.0,"['hakken', '', '', '', '', 'tatap', 'layar', 'ponsel', 'serius', 'dahi', 'kerut', 'beli', 'sarung', 'tangan', 'situs', 'daring', '', '', '', '']",hakken tatap layar ponsel serius dahi kerut beli sarung tangan situs daring
@renayku @BoluNusaRasa @mama_daring Suka banget bolu nusa rasa. Lembut dan enak.,0.0,"['daring', 'suka', 'banget', 'bolu', 'nusa', 'lembut', 'enak']",daring suka banget bolu nusa lembut enak
"@UGM_FESS wifi kampus aku pake baca manga BL sambil khotbah jumat di maskam juga bisa2 aja nder, you can do anything if you're daring enough",0.0,"['fess', 'wifi', 'kampus', 'pake', 'baca', 'manga', 'bl', 'khotbah', 'jumat', 'maskam', 'aja', 'nder', 'you', 'can', 'do', 'anything', 'if', 'youre', 'daring', 'enough']",fess wifi kampus pake baca manga bl khotbah jumat maskam aja nder you can do anything if youre daring enough
ramadhan thn kemarin bisa ga tidur sampe saur krna masih full daring.skrng gabisaa!!dikit dikit ngantukkðŸ˜“ðŸ˜“ðŸ˜“ðŸ˜“ðŸ˜“ðŸ˜“ðŸ˜“ðŸ˜“ðŸ˜“,0.0,"['ramadhan', 'thn', 'kemarin', 'ga', 'tidur', 'sampe', 'saur', 'krna', 'full', 'daringskrng', 'gabisaadikit', 'dikit', 'ngantukk', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",ramadhan thn kemarin ga tidur sampe saur krna full daringskrng gabisaadikit dikit ngantukk
nie selama puasa bisa daring ajj ga??? @ sekolah,1.0,"['nie', 'puasa', 'daring', 'ajj', 'ga', 'sekolah']",nie puasa daring ajj ga sekolah
"Udah  2 tahun terakhir setiap bulan Ramadhan selalu dirumah (daring/wfh),  dan tahun ini kembali lagi Ramadhan tapi sudah beraktifitas diluar rumah. Rasanya emmmmm syedapp syedap malashhh",1.0,"['udah', 'ramadhan', 'rumah', 'daringwfh', 'ramadhan', 'beraktifitas', 'luar', 'rumah', 'emmmmm', 'syedapp', 'syedap', 'malashhh']",udah ramadhan rumah daringwfh ramadhan beraktifitas luar rumah emmmmm syedapp syedap malashhh
@cakbas30814072 @03__nakula Nontonya daring,0.0,"['nakula', 'nontonya', 'daring']",nakula nontonya daring
"@schfess smp kelas 8, sama sma si huhu wlpun kema pandemi setahum daring kls 11 tp kls 12 enak enak ajaa huhu pokoknya sma berkesan bht apalagi aku frenjon 3 thun smpe mau lulus. mana sekelas lagi ya Allah, capeksih tapi seru lol haha",0.0,"['smp', 'kelas', 'sma', 'si', 'huhu', 'wlpun', 'kema', 'pandemi', 'setahum', 'daring', 'kls', 'tp', 'kls', 'enak', 'enak', 'ajaa', 'huhu', 'pokok', 'sma', 'kesan', 'bht', 'frenjon', 'thun', 'smpe', 'lulus', 'kelas', 'ya', 'allah', 'capeksih', 'seru', 'lol', 'haha']",smp kelas sma si huhu wlpun kema pandemi setahum daring kls tp kls enak enak ajaa huhu pokok sma kesan bht frenjon thun smpe lulus kelas ya allah capeksih seru lol haha
"Mau buku #JurnalHarianRamadan pesan di chat
https://t.co/katYFTF0Ij

Dan temukan buku kesayanganmu di toko daring kami di:
Shopee
https://t.co/7ZRrLMxTcj

Tokopedia
https://t.co/bfdgdxkKBe",0.0,"['buku', 'pesan', 'chat', 'temu', 'buku', 'sayang', 'toko', 'daring', 'shopee', 'tokopedia']",buku pesan chat temu buku sayang toko daring shopee tokopedia
"@sof1azara03 #haloriah19proofsof1azara03
Tg: Ri_daring
Done ðŸ’ðŸ“ðŸŽ https://t.co/roRwKq2vFX",0.0,"['tg', 'ridaring', 'done', '', '', '', '', '']",tg ridaring done
"Halo #TemanPemilih

Hari ini Selasa (5/4)Sekretaris KPU Merangin M. Arif Suryandi Lingga bersama para Kasubbag Dan Staf Pelaksana mengikuti Konferensi Nasional Tata Kelola Pemilu secara daring yang diselenggarakan KPU RI. 
#KPU #KPUMelayani https://t.co/xFL7tdJXV9",0.0,"['halo', 'selasa', 'sekretaris', 'kpu', 'rangin', 'm', 'arif', 'suryandi', 'lingga', 'kasubbag', 'staf', 'laksana', 'ikut', 'konferensi', 'nasional', 'tata', 'kelola', 'milu', 'daring', 'selenggara', 'kpu', 'ri']",halo selasa sekretaris kpu rangin m arif suryandi lingga kasubbag staf laksana ikut konferensi nasional tata kelola milu daring selenggara kpu ri
@AREAJULID Kerja kek ikut kelas daring aja,1.0,"['kerja', 'kek', 'kelas', 'daring', 'aja']",kerja kek kelas daring aja
RT @RINarxiv: Kasus seperti ini sering terjadi di Indonesia. Biasanya tuduhan plagiarisme karena adanya kemiripan antara makalah dengan preâ€¦,0.0,"['indonesia', 'tuduh', 'plagiarisme', 'mirip', 'makalah', 'pre']",indonesia tuduh plagiarisme mirip makalah pre
Kasus seperti ini sering terjadi di Indonesia. Biasanya tuduhan plagiarisme karena adanya kemiripan antara makalah dengan preprint atau dengan tesis yang telah diunggah daring. @dasaptaerwin https://t.co/SGv3XVh1GG,0.0,"['indonesia', 'tuduh', 'plagiarisme', 'mirip', 'makalah', 'preprint', 'tesis', 'unggah', 'daring']",indonesia tuduh plagiarisme mirip makalah preprint tesis unggah daring
"@bbnoRp @heksajulian @myriad_social Sempet ngekos seminggu, bar kui daring meneh ðŸ¤¦ðŸ»",1.0,"['social', 'sempet', 'ngekos', 'minggu', 'bar', 'kui', 'daring', 'teh', '', '']",social sempet ngekos minggu bar kui daring teh
"Pengen ngajak main temen gue, tapi bÃ©da jadwal... Gue luring dia daring, begitu terus",0.0,"['ken', 'ngajak', 'main', 'temen', 'gue', 'b da', 'jadwal', 'gue', 'luring', 'daring']",ken ngajak main temen gue b da jadwal gue luring daring
"@ScottLEOWarrior #haloriah19proofScottLEOWarrior 
Tg: Ri_daring
Done ðŸ¦
$LEOS $LEON #LeonicornSwap https://t.co/OySSSLbYRC",0.0,"['tg', 'ridaring', 'done', '', 'leos', 'leon']",tg ridaring done leos leon
"@txtnurcahyo @secgron @samsungID @bukalapak Dulu saya beli POCO M3 6/128
Di @XiaomiIndonesia
Beli baru lewat lazada waktu flash sale, pemakaian adek usia 17+
Cuma dibuat daring, nge game juga jarang. Dipake 3 Bulan lalu matot ( Mati total,) waktu habis di cas. Pas di hidupin ga bisa
Akhirnya saya bawa ke Servis Center",0.0,"['beli', 'poco', 'm', 'beli', 'lazada', 'flash', 'sale', 'pakai', 'adek', 'usia', 'daring', 'nge', 'game', 'jarang', 'dipake', 'matot', 'mati', 'total', 'habis', 'cas', 'pas', 'hidupin', 'ga', 'bawa', 'servis', 'center']",beli poco m beli lazada flash sale pakai adek usia daring nge game jarang dipake matot mati total habis cas pas hidupin ga bawa servis center
RT @Zuneyyyy: @RK_JabarJuara Menyapa kang @ridwankamil lewat daring ðŸ˜Š,0.0,"['jabarjuara', 'sapa', 'kang', 'daring', '']",jabarjuara sapa kang daring
"@VigoLartes @BitCokedotcom #haloriah19proofVigoLartes 
Tg: Ri_daring
Done ðŸ«ðŸ“ðŸ’ https://t.co/zTSVBkV3Xf",0.0,"['tg', 'ridaring', 'done', '', '', '', '', '', '']",tg ridaring done
@rogerxymoff sebenernya tu kenapa2 tp guenya aja kaya kurang nyaman mungkin grgr udah terbiasa daring ðŸ˜­,1.0,"['sebenernya', 'tu', 'tp', 'gue', 'aja', 'kaya', 'nyaman', 'grgr', 'udah', 'biasa', 'daring', '']",sebenernya tu tp gue aja kaya nyaman grgr udah biasa daring
"@kkalyr_ SEMANGATT, daring apa ptm?",0.0,"['semangatt', 'daring', 'ptm']",semangatt daring ptm
"#dnss2022
95/365

Kuliah luring 2 matkul + daring 1 matkul + kerjaan capek banget hari ini, hmm mantap dehðŸ‘",-1.0,"['kuliah', 'luring', 'matkul', 'daring', 'matkul', 'kerja', 'capek', 'banget', 'hmm', 'mantap', 'deh', '']",kuliah luring matkul daring matkul kerja capek banget hmm mantap deh
"@DaJenus @krocotokenbsc #haloriah19proofDaJenus 
Tg: Ri_daring
Done ðŸ“ðŸ¥ðŸ¥­ https://t.co/idnBCIHl9w",0.0,"['tg', 'ridaring', 'done', '', '', '']",tg ridaring done
"kalo libur aman, kalo sekolah apalagi daring engga https://t.co/xiwNbqwtsM",-1.0,"['kalo', 'libur', 'aman', 'kalo', 'sekolah', 'daring', 'engga']",kalo libur aman kalo sekolah daring engga
"@collegemenfess mei ujian luring, kuliahnya masih daring",0.0,"['mei', 'uji', 'luring', 'kuliah', 'daring']",mei uji luring kuliah daring
"RT @bkipmbjm: Kegiatan rapat bulanan dipimpin oleh Kepala Balai Balai KIPM Banjarmasin, dan diikuti oleh seluruh ASN Balai KIPM Banjarmasinâ€¦",0.0,"['giat', 'rapat', 'bulan', 'pimpin', 'kepala', 'balai', 'balai', 'kipm', 'banjarmasin', 'ikut', 'asn', 'balai', 'kipm', 'banjarmasin']",giat rapat bulan pimpin kepala balai balai kipm banjarmasin ikut asn balai kipm banjarmasin
"RT @bkipmbjm: Rapat Evaluasi Hasil Ring Test E-coli Th 2021 yg diselenggarakan oleh @PUSAT_SSK_BKIPM dan diikuti oleh Manajer Teknis, Deputâ€¦",0.0,"['rapat', 'evaluasi', 'hasil', 'ring', 'test', 'ecoli', 'th', 'yg', 'selenggara', 'sskbkipm', 'ikut', 'manajer', 'teknis', 'deput']",rapat evaluasi hasil ring test ecoli th yg selenggara sskbkipm ikut manajer teknis deput
"Hari Pertama Kegiatan Pembekalan dan Orientasi Tugas Jabatan CPNS KKP Formasi Thn 2021, yg diikuti oleh salah satu CPNS Balai KIPM Banjarmasin secara daring.

#KKPGOID
#KKPAccelerate
#MenteriKKP
#SaktiWahyuTrenggono

@kkpgoid
@bkipm_kkp
@harimaryadi651
@hafitrahman140 https://t.co/8Q0CVh9Emy",0.0,"['giat', 'bekal', 'orientasi', 'tugas', 'jabat', 'cpns', 'kkp', 'formasi', 'thn', 'yg', 'ikut', 'salah', 'cpns', 'balai', 'kipm', 'banjarmasin', 'daring', 'kkp']",giat bekal orientasi tugas jabat cpns kkp formasi thn yg ikut salah cpns balai kipm banjarmasin daring kkp
skolah bau skrg guw mauny daring lg coek,1.0,"['skolah', 'bau', 'skrg', 'guw', 'mauny', 'daring', 'lg', 'coek']",skolah bau skrg guw mauny daring lg coek
"Penyerahan SK CPNS secara simbolis oleh Menteri Kelautan dan Perikanan kepada seluruh CPNS KKP Formasi Thn 2021, yg diikuti oleh salah satu CPNS @bkipmbjm secara daring.

#KKPGOID
#KKPAccelerate
#MenteriKKP
#SaktiWahyuTrenggono

@kkpgoid
@bkipm_kkp
@harimaryadi651
@hafitrahman140 https://t.co/KPHBV08TGG",0.0,"['serah', 'sk', 'cpns', 'simbolis', 'menteri', 'laut', 'ikan', 'cpns', 'kkp', 'formasi', 'thn', 'yg', 'ikut', 'salah', 'cpns', 'daring', 'kkp']",serah sk cpns simbolis menteri laut ikan cpns kkp formasi thn yg ikut salah cpns daring kkp
"Ingat Cun ni macam Daring
Tapi bila pakai, terus fall in loveðŸ˜
Tehah syak dorang ada letak love potion dalam lipmatte ni

@SabrinaShuhaim1 
@FeverGlam_ https://t.co/g8kMK9dLjb",0.0,"['cun', 'ni', 'daring', 'pakai', 'fall', 'in', 'love', 'tehah', 'syak', 'dorang', 'letak', 'love', 'potion', 'lipmatte', 'ni']",cun ni daring pakai fall in love tehah syak dorang letak love potion lipmatte ni
"@ubsansfess Tip buat yg selalu ngerekam kelas daring, upload aja videonya ke yutub trs atur mau disave/publish private. Lega deh tu storage",1.0,"['tip', 'yg', 'ngerekam', 'kelas', 'daring', 'upload', 'aja', 'video', 'yutub', 'trs', 'atur', 'disavepublish', 'private', 'lega', 'deh', 'tu', 'storage']",tip yg ngerekam kelas daring upload aja video yutub trs atur disavepublish private lega deh tu storage
@E4rthSea TMI hari ini anak didikku lg pada seneng bgt ketemu sama aku pdhal aku lg cape bgt buat ngajar pengin sekali kali daring ada gitu satu hari tp anak anaknya gamau :),1.0,"['tmi', 'anak', 'didik', 'lg', 'neng', 'bgt', 'ketemu', 'pdhal', 'lg', 'cape', 'bgt', 'ngajar', 'pengin', 'kali', 'daring', 'gitu', 'tp', 'anak', 'anak', 'gamau']",tmi anak didik lg neng bgt ketemu pdhal lg cape bgt ngajar pengin kali daring gitu tp anak anak gamau
"RT @DitjenPajakRI: Yuk segera manfaatkan kesempatan untuk lapor SPT Tahunan. 

#KawanPajak bisa menggunakan https://t.co/EedwtAj3FT buat laâ€¦",0.0,"['yuk', 'manfaat', 'sempat', 'lapor', 'spt', 'tahun', 'la']",yuk manfaat sempat lapor spt tahun la
"Smartren Ramadhan adalah suatu Kegiatan Keagamaan yang dikemas dalam bentuk Pesantren Ramadhan secara Daring dan Luring 

Program yang dinilai baik selama ramadhan ini bisa berjalan beriringan di seluruh jenjang SMA/SMK sederajat https://t.co/PriPjr3Pvs",0.0,"['smartren', 'ramadhan', 'giat', 'agama', 'kemas', 'bentuk', 'pesantren', 'ramadhan', 'daring', 'luring', 'program', 'nilai', 'ramadhan', 'jalan', 'iring', 'jenjang', 'smasmk', 'derajat']",smartren ramadhan giat agama kemas bentuk pesantren ramadhan daring luring program nilai ramadhan jalan iring jenjang smasmk derajat
@teguh_daring @TxtdariHI Ini tuh konsep dan fungsinya kek gimana bro?,0.0,"['daring', 'tuh', 'konsep', 'fungsi', 'kek', 'gimana', 'bro']",daring tuh konsep fungsi kek gimana bro
"alasan gue pgn daring aja ðŸ¥² giliran ga puasa gaada apel, giliran puasa panas panas gini malah ada apel ðŸ¥²ðŸ–•ðŸ» it's okeeee ðŸ™‚ðŸ™‚ðŸ™‚ðŸ˜ŠðŸ˜ŠðŸ˜Š https://t.co/nN3AU9db6N",1.0,"['alas', 'gue', 'pgn', 'daring', 'aja', '', 'gilir', 'ga', 'puasa', 'gaada', 'apel', 'gilir', 'puasa', 'panas', 'panas', 'gin', 'apel', '', '', 'its', 'okeeee', '']",alas gue pgn daring aja gilir ga puasa gaada apel gilir puasa panas panas gin apel its okeeee
terus kajian masalah juga daring yeyyy bsk ga ke kampus,1.0,"['kaji', 'daring', 'yeyyy', 'bsk', 'ga', 'kampus']",kaji daring yeyyy bsk ga kampus
@schfess 10 soalnya 11 daring 12 kelasnya di bagi 2 gaseru,-1.0,"['daring', 'kelas', 'gaseru']",daring kelas gaseru
"@damiydee masuknya masi kamis sii tapi daring, ptmnya baru jumat karna kamisnya ponrom kakelðŸ˜ðŸ˜",0.0,"['masuk', 'mas', 'kamis', 'sii', 'daring', 'ptmnya', 'jumat', 'karna', 'kamis', 'ponrom', 'kakel']",masuk mas kamis sii daring ptmnya jumat karna kamis ponrom kakel
"@schfess SMA kls 10 &amp; 12, bcs kls 11 daring",0.0,"['sma', 'kls', 'amp', 'bcs', 'kls', 'daring']",sma kls amp bcs kls daring
@ThisisOshaz_ life mn kuch toh daring karna hota hai ðŸ¤¡,0.0,"['life', 'mn', 'kuch', 'daring', 'karna', 'hota', 'hai', '']",life mn kuch daring karna hota hai
Knp kelas A dikasih daring tapi kelas gweh disuruh offline?????ðŸ˜­,0.0,"['knp', 'kelas', 'a', 'kasih', 'daring', 'kelas', 'gweh', 'suruh', 'offline']",knp kelas a kasih daring kelas gweh suruh offline
"[PRESS RELEASE: PELATIHAN MENULIS ILMIAH]
.
.
Telah dilaksanakan acara PMI (Pelatihan Menulis Ilmiah) yang diadakan oleh Departemen Riset Himatemia FT Unila pada Sabtu, 2 April 2022 pukul 10.00 WIB s.d selesai yang dilaksanakan secara daring melalui Zoom Meeting. https://t.co/0R6lqpxiKS",0.0,"['press', 'release', 'latih', 'tulis', 'ilmiah', 'laksana', 'acara', 'pmi', 'latih', 'tulis', 'ilmiah', 'ada', 'departemen', 'riset', 'himatemia', 'ft', 'unila', 'sabtu', 'april', 'wib', 'sd', 'selesai', 'laksana', 'daring', 'zoom', 'meeting']",press release latih tulis ilmiah laksana acara pmi latih tulis ilmiah ada departemen riset himatemia ft unila sabtu april wib sd selesai laksana daring zoom meeting
@saturjuns sugohaessoo kae! ðŸ’—ðŸ’—ðŸ’ akuuu hari ini daring kayak biasa terus tidur siang lama bgt :D,1.0,"['sugohaessoo', 'kae', '', '', '', '', '', '', 'akuuu', 'daring', 'kayak', 'tidur', 'siang', 'bgt', 'd']",sugohaessoo kae akuuu daring kayak tidur siang bgt d
"Kanwil Kemenkumham Malut Gelar Sosialisasi Hasil Penelitian Melalui Diskusi Daring. Ini yang Dibahas

https://t.co/sIB2O1c5uc",0.0,"['kanwil', 'kemenkumham', 'malut', 'gelar', 'sosialisasi', 'hasil', 'teliti', 'diskusi', 'daring', 'bahas']",kanwil kemenkumham malut gelar sosialisasi hasil teliti diskusi daring bahas
HADUHH SEKOLAH KU BARU LIBUR TAGGAL 19 CEUNAHâ˜ºï¸ ITUPUN KAYAKNYA BELAJAR DARING ALIAS TTP ADA TUGASâ˜ºï¸,-1.0,"['haduhh', 'sekolah', 'ku', 'libur', 'taggal', 'ceunah', 'itu', 'kayak', 'ajar', 'daring', 'alias', 'ttp', 'tugas']",haduhh sekolah ku libur taggal ceunah itu kayak ajar daring alias ttp tugas
agak sasak angap yaa kuliah daring d bulan puasa nih,-1.0,"['sasak', 'angap', 'yaa', 'kuliah', 'daring', 'd', 'puasa', 'nih']",sasak angap yaa kuliah daring d puasa nih
"Terimakasih diri, sudah begitu hebat hari ini.
Pagi dan Sore Sudah masak, terlebih sore sambil kuliah daring. Pun mudah mudahan kerja dan puasanya hari ini mabrur dan berkah.

Kamu hebat diri, meksipun kita sama sama tau kalau keadaan sedang tak berpihak akhir akhir ini.",1.0,"['terimakasih', 'hebat', 'pagi', 'sore', 'masak', 'sore', 'kuliah', 'daring', 'mudah', 'mudah', 'kerja', 'puasa', 'mabrur', 'berkah', 'hebat', 'meksipun', 'tau', 'pihak']",terimakasih hebat pagi sore masak sore kuliah daring mudah mudah kerja puasa mabrur berkah hebat meksipun tau pihak
